,Lat,Max Temp,Humidity,Cloudiness,Wind Speed
363,14.35,304.26,88,100,1.5
364,22.68,312.88,11,0,1.86
365,-0.91,297.41,83,91,3.51
366,-21.34,292.15,68,75,6.7
367,68.05,288.98,89,92,3.62
368,-23.78,294.18,73,76,2.45
369,-3.74,301.15,65,75,7.2
370,71.69,288.67,81,62,4.2
371,16.89,301.15,74,40,4.6
372,-6.22,300.22,74,72,1.97
373,36.85,305.15,69,75,3.6
374,-3.42,297.15,100,40,0.5
375,28.37,301.15,88,40,4.1
376,19.47,295.15,43,75,2.32
377,30.43,297.29,93,100,1.71
378,-41.41,279.26,81,17,1.5
379,-34.73,284.74,53,0,8.65
380,-26.02,283.07,39,0,2.35
381,40.92,298.71,65,0,0.5
382,51.07,291.15,77,95,5.1
383,-6.43,297.15,73,20,4.6
384,1.49,297.15,94,20,1.0
385,11.67,300.71,73,72,1.49
386,14.31,304.26,88,100,1.5
387,51.03,289.82,97,63,2.24
388,-28.61,292.6,78,81,3.32
389,-17.0,294.15,77,90,3.6
390,13.08,297.77,87,100,2.91
391,33.88,308.15,46,75,2.6
392,8.2,300.57,80,70,2.53
393,18.98,294.93,94,94,1.0
394,12.78,303.8,64,6,3.81
395,-38.55,283.71,39,88,4.02
396,35.13,296.48,95,98,0.14
397,-43.75,276.48,31,0,2.84
398,-22.93,282.16,69,0,5.31
399,22.48,294.87,94,100,0.67
400,70.86,284.15,93,90,1.0
401,-9.66,294.56,82,77,4.54
402,38.75,308.15,52,20,2.79
403,48.11,290.93,82,5,1.34
404,14.35,307.21,42,45,6.04
405,40.83,298.15,65,0,0.5
406,6.3,298.03,85,100,5.53
407,13.64,305.11,50,68,6.25
408,-1.4,297.78,71,99,2.87
409,26.56,299.15,94,75,1.5
410,21.44,303.15,54,40,4.1
411,4.71,296.88,91,73,2.32
412,-19.55,295.15,94,90,7.12
413,69.41,280.15,81,40,12.0
414,35.54,291.36,90,100,0.34
415,-4.51,301.73,85,100,1.0
416,67.47,279.5,81,0,5.88
417,8.01,299.05,85,91,2.42
418,65.98,286.56,61,0,5.61
419,66.56,281.57,77,27,1.8
420,-29.95,286.15,54,77,5.1
421,3.82,295.59,98,98,0.81
422,-8.77,300.03,82,52,2.3
423,57.28,285.81,77,67,3.19
424,-32.24,294.26,73,100,2.43
425,57.11,289.26,79,100,3.13
426,39.05,294.3,70,0,1.9
427,68.71,281.17,71,74,2.02
428,-13.2,292.48,74,71,1.62
429,7.83,295.07,96,85,2.48
430,-7.23,302.16,35,84,2.32
431,61.99,288.15,58,20,4.1
432,44.83,298.15,44,66,4.6
433,10.35,299.05,83,100,3.49
434,24.09,305.44,16,15,4.73
435,13.77,298.5,87,96,2.75
436,54.72,294.51,71,45,4.89
437,-19.39,293.5,71,0,2.04
438,70.02,298.29,42,11,1.3
439,-20.41,291.15,77,75,8.2
440,5.97,298.89,86,97,5.0
441,60.12,285.49,66,18,2.24
442,20.2,307.51,24,38,1.37
443,-3.48,297.94,42,0,0.44
444,32.53,297.26,86,1,1.79
445,2.18,300.08,89,99,0.27
446,-10.17,294.7,79,30,4.43
447,50.72,288.15,63,82,1.07
448,40.33,299.29,51,0,3.56
449,42.16,298.71,88,75,1.5
450,-2.04,299.16,85,77,1.09
451,41.64,297.59,88,90,1.5
452,5.66,300.32,78,100,3.84
453,17.16,307.15,52,40,3.1
454,12.48,302.15,83,40,3.1
455,15.55,304.15,48,55,7.7
456,47.48,288.74,94,100,4.26
457,39.82,295.09,41,100,3.62
458,45.02,300.37,47,1,1.5
459,66.04,282.15,70,75,5.7
460,62.11,286.97,91,100,0.2
461,9.23,295.35,83,100,0.98
462,-15.53,299.15,78,75,3.1
463,23.67,300.15,94,100,0.63
464,48.4,299.15,41,20,4.6
465,13.83,304.15,58,40,3.1
466,35.73,294.26,100,75,1.0
467,1.5,295.45,88,76,1.09
468,1.33,302.15,74,40,4.1
469,50.36,288.73,89,96,1.1
470,35.54,309.15,38,1,6.7
471,40.8,293.15,72,75,3.6
472,-12.58,294.08,86,38,2.13
473,48.46,296.15,56,75,1.5
474,-20.01,292.04,71,16,3.58
475,9.95,302.55,74,90,2.4
476,39.18,303.71,70,75,2.6
477,-20.52,291.15,77,75,8.2
